Title,Rating,Expert Rating,Location,Price Per Night,Distance From City,Facilities,Country
Hilton Dubai Creek,5 Star Hotel,9.0,Dubai,,5 km from City Center,"['Free Wi-Fi', 'Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Dubai
Royal Ascot Hotel,4 Star Hotel,8.5,Dubai,,4 km from City Center,"['Free Wi-Fi', 'Laundry Service', 'Free Parking']",Dubai
"Marriott Hotel Al Jaddaf, Dubai",5 Star Hotel,8.0,Dubai,,4 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Air-Conditioned', 'Laundry Service']",Dubai
Roda Al Murooj Hotel Dubai,5 Star Hotel,9.7,Dubai,"20,000",3 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Outdoor Pool', 'Air-Conditioned']",Dubai
Taj Hotel Dubai,5 Star Hotel,9.5,Dubai,"10,000",14 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Dubai
Holiday Inn Downtown Dubai,4 Star Hotel,9.5,Dubai,"5,000",6 km from City Center,"['Free Parking', 'Free Wi-Fi', 'Fitness Center']",Dubai
The Oberoi Hotel Dubai,5 Star Hotel,9.5,Dubai,"5,000",5 km from City Center,"['Free Parking', 'Laundry Service', 'Room Service', 'Restaurant']",Dubai
The Ritz Carlton Hotel Dubai,5 Star Hotel,9.5,Dubai,"20,000",3 km from City Center,"['Fitness Center', 'Free Wi-Fi']",Dubai
"Vacation Bay Holiday Homes, Princess Tower Dubai",3 Star Hotel,9.5,Dubai,"5,000",9 km from City Center,"['Free Wi-Fi', 'Free Parking']",Dubai
Holiday Inn Bur Dubai   Embassy District,4 Star Hotel,9.5,Dubai,"10,000",4 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Outdoor Pool', 'Laundry Service']",Dubai
Hotel Sofitel Dubai Downtown,5 Star Hotel,9.4,Dubai,"20,000",24 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Outdoor Pool', 'Air-Conditioned']",Dubai
Burj Al Arab Jumeirah Dubai,5 Star Hotel,9.3,Dubai,"20,000",6 km from City Center,['Free Wi-Fi'],Dubai
Crowne Plaza Dubai,5 Star Hotel,9.3,Dubai,"5,000",19 km from City Center,"['Free Parking', 'Restaurant']",Dubai
Jumeirah Zabeel Saray Hotel Dubai,5 Star Hotel,9.3,Dubai,"5,000",20 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Dubai
Avani Deira Dubai Hotel,5 Star Hotel,9.3,Dubai,"5,000",7 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Dubai
Palace Downtown Dubai,5 Star Hotel,9.3,Dubai,"5,000",4 km from City Center,"['Free Parking', 'Restaurant']",Dubai
Landmark Grand Hotel Dubai,4 Star Hotel,9.3,Dubai,"5,000",6 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Dubai
Le Royal Meridien Beach Resort & Spa Dubai,5 Star Hotel,9.3,Dubai,"15,000",22 km from City Center,"['Free Parking', 'Restaurant']",Dubai
Dubai Marriott Harbour Hotel & Suites,4 Star Hotel,9.3,Dubai,"5,000",19 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Air-Conditioned', 'Laundry Service']",Dubai
Emirates Concorde Hotel & Suites Dubai,4 Star Hotel,9.3,Dubai,"5,000",5 km from City Center,['Outdoor Pool'],Dubai
Holiday Inn Express Dubai Airport,2 Star Hotel,9.3,Dubai,"5,000",8 km from City Center,"['Free Wi-Fi', 'Air-Conditioned', 'Restaurant']",Dubai
Marina Byblos Hotel Dubai,4 Star Hotel,9.3,Dubai,"5,000",23 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Room Service', 'Restaurant']",Dubai
Hotel Holiday Inn Dubai Festival City,4 Star Hotel,9.3,Dubai,"15,000",8 km from City Center,"['Free Wi-Fi', 'Air-Conditioned', 'Room Service', 'Restaurant']",Dubai
Jumeirah Al Naseem Hotel Dubai,5 Star Hotel,9.3,Dubai,"5,000",13 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Dubai
Dubai Marine Beach Resort & Spa,5 Star Hotel,9.0,Dubai,"20,000",3 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Dubai
Raintree Rolla Hotel Dubai,4 Star Hotel,9.0,Dubai,"5,000",3 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Outdoor Pool']",Dubai
Hilton Garden Inn Dubai Mall Of The Emirates,4 Star Hotel,9.0,Dubai,"5,000",15 km from City Center,"['Free Parking', 'Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Dubai
Hotel Address Dubai Mall,5 Star Hotel,9.0,Dubai,"20,000",4 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Dubai
Armani Hotel Dubai,5 Star Hotel,9.0,Dubai,"5,000",4 km from City Center,"['Free Parking', 'Air-Conditioned', 'Laundry Service']",Dubai
Ghaya Grand Hotel Dubai,5 Star Hotel,9.0,Dubai,"5,000",23 km from City Center,"['Laundry Service', 'Restaurant']",Dubai
Ghaya Grand Hotel Dubai,5 Star Hotel,9.0,Dubai,"5,000",23 km from City Center,"['Laundry Service', 'Restaurant']",Dubai
Marina Hotel Apartments Dubai,4 Star Hotel,9.0,Dubai,"5,000",21 km from City Center,"['Air-Conditioned', 'Laundry Service']",Dubai
Ramada Plaza Jumeirah Beach Hotel Dubai,4 Star Hotel,9.0,Dubai,"5,000",22 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Outdoor Pool', 'Laundry Service']",Dubai
The H Hotel Dubai,5 Star Hotel,9.0,Dubai,"5,000",24 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Room Service', 'Restaurant']",Dubai
Ramada Plaza Jumeirah Beach Dubai,4 Star Hotel,9.0,Dubai,"15,000",22 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Outdoor Pool', 'Laundry Service']",Dubai
"V Hotel Dubai, Curio Collection By Hilton",5 Star Hotel,9.0,Dubai,"5,000",6 km from City Center,"['Restaurant', 'Fitness Center', 'Free Wi-Fi']",Dubai
Five Palm Jumeirah Hotel,5 Star Hotel,9.0,Dubai,"5,000",19 km from City Center,['Restaurant'],Dubai
Hotel City Star Dubai,3 Star Hotel,9.0,Dubai,"5,000",7 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Dubai
Address Dubai Marina,5 Star Hotel,9.0,Dubai,"5,000",22 km from City Center,"['Fitness Center', 'Free Wi-Fi']",Dubai
Fairmont The Palm Hotel Dubai,5 Star Hotel,9.0,Dubai,"5,000",19 km from City Center,"['Free Parking', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Dubai
Hotel City Star Dubai,3 Star Hotel,9.0,Dubai,"5,000",7 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Dubai
Address Dubai Marina,5 Star Hotel,9.0,Dubai,"5,000",22 km from City Center,"['Fitness Center', 'Free Wi-Fi']",Dubai
